system_index,NDVI_Year,GIMMSdate,afterSlope,beforeSlope,best,conflict_name,conflict_new_id,country,country_id,date_end,date_start,region,slopeChange,slopeYears,Long,Lat,year,NDVI,T,Prec,soilM
00000000000000000093_1,1982,19820101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,66.8100020867,33.0000009606263,2001,1448.429688,373,149,253
00000000000000000093_2,1983,19830101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1501.701538,387,48,253
00000000000000000093_3,1984,19840101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1416.55127,381,67,253
00000000000000000093_4,1985,19850101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1334.784546,383,47,253
00000000000000000093_5,1986,19860101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1504.05542,373,78,253
00000000000000000093_6,1987,19870101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1445.758789,369,59,20
00000000000000000093_7,1988,19880101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1558.485596,382,74,253
00000000000000000093_8,1989,19890101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1400.966797,368,52,253
00000000000000000093_9,1990,19900101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1457.959595,377,93,253
00000000000000000093_10,1991,19910101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1499.973145,380,103,253
00000000000000000093_11,1992,19920101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1461.224487,371,74,253
00000000000000000093_12,1993,19930101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1549.218384,365,81,253
00000000000000000093_13,1994,19940101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1601.667358,373,67,253
00000000000000000093_14,1995,19950101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1612.175781,379,75,253
00000000000000000093_15,1996,19960101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1568.845947,368,67,253
00000000000000000093_16,1997,19970101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1660.680786,385,56,105
00000000000000000093_17,1998,19980101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1807.274048,382,66,253
00000000000000000093_18,1999,19990101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1583.734131,377,68,253
00000000000000000093_19,2000,20000101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1579.599243,366,29,187
00000000000000000093_20,2001,20010101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1532.760742,378,25,20
00000000000000000093_21,2002,20020101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1370.501709,373,48,194
00000000000000000093_22,2003,20030101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1762.437012,383,71,253
00000000000000000093_23,2004,20040101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1292.859741,369,98,253
00000000000000000093_24,2005,20050101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1548.269043,382,141,253
00000000000000000093_25,2006,20060101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1667.833252,382,59,253
00000000000000000093_26,2007,20070101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,2130.148682,372,108,253
00000000000000000093_27,2008,20080101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1496.821411,382,74,253
00000000000000000093_28,2009,20090101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1761.735352,388,73,253
00000000000000000093_29,2010,20100101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,2124.83252,378,31,253
00000000000000000093_30,2011,20110101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1987.530762,381,98,253
00000000000000000093_31,2012,20120101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1612.297241,386,68,253
00000000000000000093_32,2013,20130101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1980.235596,390,71,205
00000000000000000093_33,2014,20140101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1974.189209,388,57,80
00000000000000000093_34,2015,20150101,17.65419442,13.36198992,441,Afghanistan: Government,333,Afghanistan,700,12/31/2001,1/1/2001,Asia,4.292204503,15,64.9999994599,33.0000009606263,2001,1774.372437,381,68,253
